,coddpto,departamento,codmunicipio,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_tha,Precipitación mm,Humedad %,Temperatura°C
157,13,Bolívar,"13,417",magangue,yuca,2016,900.0,750.0,6750.0,9.0,1463.9333333333334,93.0,36.0
158,13,Bolívar,"13,433",mahates,aji dulce,2016,150.0,150.0,1200.0,8.0,1694.1666666666667,100.0,34.0
159,13,Bolívar,"13,433",mahates,aji dulce,2016,200.0,200.0,1400.0,7.0,1694.1666666666667,100.0,34.0
160,13,Bolívar,"13,433",mahates,aji dulce,2016,100.0,90.0,720.0,8.0,1694.1666666666667,100.0,34.0
161,13,Bolívar,"13,433",mahates,aji dulce,2016,120.0,100.0,700.0,7.0,1694.1666666666667,100.0,34.0
162,13,Bolívar,"13,433",mahates,arroz riego,2016,90.0,90.0,414.0,4.6,1694.1666666666667,100.0,34.0
163,13,Bolívar,"13,433",mahates,arroz riego,2016,70.0,70.0,322.0,4.6,1694.1666666666667,100.0,34.0
164,13,Bolívar,"13,433",mahates,caña,2016,500.0,500.0,5000.0,10.0,1694.1666666666667,100.0,34.0
165,13,Bolívar,"13,433",mahates,citricos,2016,200.0,130.0,1950.0,15.0,1694.1666666666667,100.0,34.0
166,13,Bolívar,"13,433",mahates,coco,2016,40.0,40.0,320.0,8.0,1694.1666666666667,100.0,34.0
167,13,Bolívar,"13,433",mahates,jatropha curcas,2016,60.0,0.0,0.0,0.0,1694.1666666666667,100.0,34.0
168,13,Bolívar,"13,433",mahates,maiz tradicional,2016,3000.0,3000.0,4500.0,1.5,1694.1666666666667,100.0,34.0
169,13,Bolívar,"13,433",mahates,maiz tradicional,2016,2000.0,800.0,960.0,1.2,1694.1666666666667,100.0,34.0
170,13,Bolívar,"13,433",mahates,maiz tradicional,2016,1500.0,1000.0,1500.0,1.5,1694.1666666666667,100.0,34.0
171,13,Bolívar,"13,433",mahates,maiz tradicional,2016,2000.0,2000.0,2400.0,1.2,1694.1666666666667,100.0,34.0
172,13,Bolívar,"13,433",mahates,mango,2016,350.0,150.0,2250.0,15.0,1694.1666666666667,100.0,34.0
173,13,Bolívar,"13,433",mahates,melon,2016,400.0,320.0,2240.0,7.0,1694.1666666666667,100.0,34.0
174,13,Bolívar,"13,433",mahates,melon,2016,400.0,320.0,1920.0,6.0,1694.1666666666667,100.0,34.0
175,13,Bolívar,"13,433",mahates,melon,2016,150.0,100.0,700.0,7.0,1694.1666666666667,100.0,34.0
176,13,Bolívar,"13,433",mahates,melon,2016,150.0,100.0,600.0,6.0,1694.1666666666667,100.0,34.0
177,13,Bolívar,"13,433",mahates,ñame,2016,800.0,500.0,5000.0,10.0,1694.1666666666667,100.0,34.0
178,13,Bolívar,"13,433",mahates,ñame,2016,300.0,250.0,2500.0,10.0,1694.1666666666667,100.0,34.0
179,13,Bolívar,"13,433",mahates,palma de aceite,2016,2000.0,1200.0,24000.0,20.0,1694.1666666666667,100.0,34.0
180,13,Bolívar,"13,433",mahates,platano,2016,600.0,600.0,7200.0,12.0,1694.1666666666667,100.0,34.0
181,13,Bolívar,"13,433",mahates,yuca,2016,4500.0,2800.0,33600.0,12.0,1694.1666666666667,100.0,34.0
182,13,Bolívar,"13,433",mahates,yuca,2016,3500.0,3000.0,27000.0,9.0,1694.1666666666667,100.0,34.0
183,13,Bolívar,"13,433",mahates,yuca,2016,160.0,0.0,0.0,0.0,1694.1666666666667,100.0,34.0
184,13,Bolívar,"13,440",margarita,caña,2016,32.0,20.0,20.0,1.0,275.0,86.0,36.0
185,13,Bolívar,"13,440",margarita,maiz tradicional,2016,146.0,145.0,479.0,3.3,275.0,86.0,36.0
186,13,Bolívar,"13,440",margarita,maiz tradicional,2016,140.0,140.0,462.0,3.3,275.0,86.0,36.0
187,13,Bolívar,"13,440",margarita,naranja,2016,53.0,25.0,375.0,15.0,275.0,86.0,36.0
188,13,Bolívar,"13,440",margarita,platano,2016,65.0,55.0,440.0,8.0,275.0,86.0,36.0
189,13,Bolívar,"13,440",margarita,yuca,2016,163.0,160.0,4480.0,28.0,275.0,86.0,36.0
190,13,Bolívar,"13,442",maria la baja,aji dulce,2016,40.0,40.0,600.0,15.0,1982.142857142857,100.0,34.0
191,13,Bolívar,"13,442",maria la baja,arroz riego,2016,400.0,400.0,1600.0,4.0,1982.142857142857,100.0,34.0
192,13,Bolívar,"13,442",maria la baja,arroz secano manual,2016,2200.0,1000.0,3000.0,3.0,1982.142857142857,100.0,34.0
193,13,Bolívar,"13,442",maria la baja,cacao,2016,73.0,58.0,12.0,0.2,1982.142857142857,100.0,34.0
194,13,Bolívar,"13,442",maria la baja,maiz tecnificado,2016,2200.0,2200.0,8800.0,4.0,1982.142857142857,100.0,34.0
195,13,Bolívar,"13,442",maria la baja,maiz tradicional,2016,1000.0,1000.0,1500.0,1.5,1982.142857142857,100.0,34.0
196,13,Bolívar,"13,442",maria la baja,maiz tradicional,2016,2000.0,2000.0,8000.0,4.0,1982.142857142857,100.0,34.0
197,13,Bolívar,"13,442",maria la baja,maiz tradicional,2016,1000.0,1000.0,1500.0,1.5,1982.142857142857,100.0,34.0
198,13,Bolívar,"13,442",maria la baja,ñame,2016,700.0,700.0,8400.0,12.0,1982.142857142857,100.0,34.0
199,13,Bolívar,"13,442",maria la baja,palma de aceite,2016,11107.0,9996.0,279888.0,28.0,1982.142857142857,100.0,34.0
200,13,Bolívar,"13,442",maria la baja,platano,2016,805.0,705.0,5640.0,8.0,1982.142857142857,100.0,34.0
201,13,Bolívar,"13,442",maria la baja,yuca,2016,700.0,700.0,5600.0,8.0,1982.142857142857,100.0,34.0
202,13,Bolívar,"13,442",maria la baja,yuca industrial,2016,30.0,25.0,375.0,15.0,1982.142857142857,100.0,34.0
203,13,Bolívar,"13,458",montecristo,arroz secano manual,2016,1300.0,900.0,1800.0,2.0,555.0,98.0,34.0
204,13,Bolívar,"13,458",montecristo,arroz secano manual,2016,1200.0,1000.0,2500.0,2.5,555.0,98.0,34.0
205,13,Bolívar,"13,458",montecristo,arroz secano mecanizado,2016,500.0,45.0,180.0,4.0,555.0,98.0,34.0
206,13,Bolívar,"13,458",montecristo,arroz secano mecanizado,2016,200.0,150.0,630.0,4.2,555.0,98.0,34.0
207,13,Bolívar,"13,458",montecristo,cacao,2016,20.0,20.0,10.0,0.5,555.0,98.0,34.0
208,13,Bolívar,"13,458",montecristo,maiz tradicional,2016,1800.0,1200.0,1800.0,1.5,555.0,98.0,34.0
209,13,Bolívar,"13,458",montecristo,maiz tradicional,2016,1200.0,800.0,1600.0,2.0,555.0,98.0,34.0
210,13,Bolívar,"13,458",montecristo,platano,2016,220.0,220.0,990.0,4.5,555.0,98.0,34.0
211,13,Bolívar,"13,458",montecristo,yuca,2016,750.0,700.0,7000.0,10.0,555.0,98.0,34.0
221,13,Bolívar,"13,549",pinillos,ahuyama,2016,700.0,580.0,8700.0,15.0,2069.0,84.0,36.0
222,13,Bolívar,"13,549",pinillos,ahuyama,2016,150.0,100.0,1500.0,15.0,2069.0,84.0,36.0
