,CodigoEstacion,Categoria,Entidad,Departamento,Municipio,IdParametro,Etiqueta,Frecuencia,Fecha,Valor,Grado,Año
86,29030150,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Jacinto,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1857.9,4,2016
87,29030150,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Jacinto,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,2321.0,50,2017
88,29030150,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Jacinto,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,2437.0,50,2018
89,29030150,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Jacinto,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1928.0,50,2019
90,29030150,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Jacinto,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,2258.0,50,2020
91,29030050,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Estanislao,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1124.0,50,2016
92,29030050,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Estanislao,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,1316.0,50,2017
93,29030050,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Estanislao,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,1381.0,50,2018
94,29030050,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Estanislao,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1218.0,50,2019
95,29030050,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Estanislao,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1405.0,50,2020
96,29035110,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Maria La Baja,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,1679.4,50,2017
97,29035110,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Maria La Baja,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,1915.9,50,2018
98,29035110,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Maria La Baja,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1436.9,50,2019
99,29035110,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Maria La Baja,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1560.7,50,2020
100,29030370,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Cartagena De Indias,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1299.0,4,2016
101,29030370,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Cartagena De Indias,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,962.0,50,2017
102,29030370,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Cartagena De Indias,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,1019.0,50,2018
103,29030370,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Cartagena De Indias,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,766.0,4,2019
104,29030370,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Cartagena De Indias,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1273.1,50,2020
105,29035030,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Maria La Baja,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1511.5,4,2016
106,29035030,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Maria La Baja,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,2082.0,4,2017
107,29035030,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Maria La Baja,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,2104.4,4,2018
108,29035030,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Maria La Baja,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1485.8,50,2019
109,29035030,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Maria La Baja,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1710.6,50,2020
110,29030080,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Maria La Baja,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1644.5,4,2016
111,29030080,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Maria La Baja,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,1616.7,50,2017
112,29030080,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Maria La Baja,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,1845.9,50,2018
113,29030080,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Maria La Baja,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1342.2,50,2019
114,29030080,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Maria La Baja,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,2896.0,50,2020
115,25027410,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Regidor,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1495.0,50,2016
116,25027410,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Regidor,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,1655.0,50,2017
117,25027410,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Regidor,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,1096.0,50,2018
118,25027410,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Regidor,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1396.0,50,2019
119,25027410,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Regidor,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1999.0,50,2020
